CustomerId,PLACEMENT,AGE,TENURE,TARIFF,REV_1,REV_2,REV_3,REV_4,REV_5,REV_6,REV_T,MOU_TOT_1,MOU_TOT_2,MOU_TOT_3,MOU_TOT_4,MOU_TOT_5,MOU_TOT_6,NCLL_1,NCLL_2,NCLL_3,NCLL_4,NCLL_5,NCLL_6,CHURN
1,1,50,927,1,92.5,53,40.25,14.5,24.25,19,764.25,676.85,320.35,233.65,4,87.95,35.69,4,1,0,0,2,2,1
2,0,41,4257,2,11.75,17.75,28.5,25.75,22.79,20.52,232.06,40.13,40.98,52.78,30,61.05,33.2,10,6,6,6,4,7,0
3,1,56,274,1,67.5,54.75,19.5,79,85.75,78.25,1391,264.79,184.68,399.21,363.62,398.94,434.22,28,21,28,36,36,29,0
4,1,29,808,1,34.25,38,29.25,51.85,43.55,30.5,785.4,132.82,184.06,217.01,332.33,267.46,173.52,4,6,1,0,1,0,0
5,0,41,2921,1,15.75,28.25,14.25,50.84,24.74,23.25,436.83,29.88,12.62,6.23,152.6,46.25,48.57,4,3,0,10,9,5,1
6,1,25,1765,1,33,18.75,18,28.25,41.07,20,528.32,127.77,24.43,13.7,61.51,91.03,15.63,7,2,4,7,9,4,0
7,1,41,6407,2,9,9,9,9.5,12.63,9.04,152.42,7.03,3.18,3.1,3.75,14.33,1.4,1,0,0,0,2,1,0
8,0,45,3222,1,14.25,15.5,14.75,19.32,14.5,16.75,257.57,0,7.01,0.7,26.65,2.49,9.46,0,1,0,2,0,1,1
9,0,80,4937,1,14.25,20.25,24,43.09,33.25,34,491.59,47.65,80.28,83.03,141.72,89.62,86.5,2,2,3,7,3,7,1
10,1,38,79,1,14.25,14.25,14.25,16,14.25,14.25,44.25,0,0,0,0,0,0,0,0,0,0,0,0,1
11,1,29,1577,1,24.75,27.75,26,24.55,25.23,24.5,433.78,62.59,78.04,77.37,63.91,57.31,49.79,3,4,1,1,6,2,0
12,0,41,1228,1,14.25,18,17.25,25.84,19.3,25.25,401.64,7.72,49.92,28.88,44.92,31.88,49.68,2,8,12,9,2,12,1
13,1,28,2976,2,12.5,28,26.25,15,26.53,31.01,372.29,58.79,97.03,52.88,8.86,43.25,47.86,2,3,1,0,2,1,0
14,1,49,1786,1,40.5,46.5,36,38.39,35.72,32.5,746.36,303.21,233.85,171.9,230.08,165.1,173.3,7,10,8,4,2,6,0
